Symbol,Date,Time,CompanyName,Title,sentiment_label,sentiment_score,sentiment_category,sentiment_sub_category,sentiment_explanation,sentiment_flags
FFC,2026-03-13,8:03 AM,Fauji Fertilizer Company Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
OGDC,2026-03-13,8:01 AM,Oil & Gas Development Company Limited,APPOINTMENT OF DIRECTOR,neutral,0.94,Corporate Event,appointment,Appointment or reappointment of board member or executive,appointment
UBL,2026-03-13,11:59 AM,United Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
MEBL,2026-03-12,11:12 AM,Meezan Bank Limited,DISCLOSURE OF INTEREST BY RELEVANT PERSONS HOLDING COMPANY SHARES UNDER PSX REGULATION 5.6.4,neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
MEBL,2026-03-12,10:14 AM,Meezan Bank Limited,PUBLICATION OF NOTICES FOR THE PROCEDURE FOR ELECTRONIC VOTING FACILITY AND VOTING THROUGH POSTAL BALLOT,neutral,0.97,Admin,voting_material,AGM/EGM voting material or postal ballot,ballot_voting
MLCF,2026-03-12,12:59 PM,Maple Leaf Cement Factory Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
PPL,2026-03-12,10:20 AM,Pakistan Petroleum Limited,Credit of 2nd Interim Cash Dividend 2025-26,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
PRL,2026-03-12,12:01 PM,Pakistan Refinery Limited,APPOINTMENT OF MANAGING DIRECTOR & CHIEF EXECUTIVE OFFICER,neutral,0.94,Corporate Event,appointment,Appointment or reappointment of board member or executive,appointment
EFERT,2026-03-11,8:00 AM,Engro Fertilizers Limited,PUBLICATION OF POSTAL BALLOT AND PROVISION OF ELECTRONIC VOTING FOR AGM,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
ILP,2026-03-11,1:01 PM,Interloop Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
BAHL,2026-03-10,1:14 PM,Bank AL Habib Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
FFC,2026-03-10,11:45 AM,Fauji Fertilizer Company Limited,First Corporate Briefing - 2026 (Virtual),neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
LUCK,2026-03-10,10:31 AM,Lucky Cement Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
CHCC,2026-03-09,9:40 AM,Cherat Cement Company Limited,Credit of Interim Cash Dividend,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
HUBC,2026-03-09,12:08 PM,The Hub Power Company Limited,"Mandatory Shariah Disclosures for the half year ended December 31, 2025",neutral,0.95,Regulatory Filing,accounts_transmission,Transmission or filing of financial statements or accounts,accounts_transmission
NBP,2026-03-09,11:56 AM,National Bank of Pakistan,"Transmission of Annual Report for the Year Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
NBP,2026-03-09,11:46 AM,National Bank of Pakistan,Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
UBL,2026-03-09,12:30 PM,United Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
BAHL,2026-03-06,11:28 AM,Bank AL Habib Limited,"BAHL-Transmission of Annual Report for the Year Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
BAHL,2026-03-06,11:21 AM,Bank AL Habib Limited,BAHL - Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
HBL,2026-03-06,1:44 PM,Habib Bank Limited,"HBL | Habib Bank Limited Transmission of Annual Report for the Year Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
HBL,2026-03-06,12:27 PM,Habib Bank Limited,Notice of 84th Annual General Meeting of Habib Bank Limited - Prior to Publication,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
ILP,2026-03-06,8:32 AM,Interloop Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
MCB,2026-03-06,10:42 AM,MCB Bank Limited,Newspaper Cuttings of Notice of 78th Annual General Meeting - MCB Bank Limited,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
MCB,2026-03-06,10:04 AM,MCB Bank Limited,Notice of 78th Annual General Meeting - MCB Bank Limited,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
MCB,2026-03-06,9:48 AM,MCB Bank Limited,"Transmission of Annual Report for the year ended December 31, 2025 - MCB Bank Limited",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
NBP,2026-03-06,11:37 AM,National Bank of Pakistan,NOTICE OF 77TH ANNUAL GENERAL MEETING OF NATIONAL BANK OF PAKISTAN (PRIOR TO PUBLICATION),neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
PAEL,2026-03-06,11:00 AM,Pak Elektron Limited,Board Meeting for the Year ended 31-12-2025,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
BAFL,2026-03-05,1:03 PM,Bank Alfalah Limited,Newspaper Clippings in respect of Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
BAFL,2026-03-05,8:58 AM,Bank Alfalah Limited,"Transmission of Annual Report for the Year Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
FABL,2026-03-05,12:10 PM,Faysal Bank Limited,Notice of 31 Annual General Meeting of Faysal Bank Limited,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
FABL,2026-03-05,9:47 AM,Faysal Bank Limited,"Transmission of Annual Report for the year ended December 31, 2025 of Faysal Bank Limited",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
MCB,2026-03-05,9:52 AM,MCB Bank Limited,Text of Advertisement Prior to Publication - Notice of 78th AGM of MCB Bank Limited,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
MEBL,2026-03-05,12:04 PM,Meezan Bank Limited,NOTICE OF 30th ANNUAL GENERAL MEETING - MEEZAN BANK LIMITED,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
MEBL,2026-03-05,11:12 AM,Meezan Bank Limited,"Transmission of Annual Report for the Year Ended December 31, 2025 - Meezan Bank Limited",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
PRL,2026-03-05,12:15 PM,Pakistan Refinery Limited,Board Meeting other than Financial Results,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
UBL,2026-03-05,12:28 PM,United Bank Limited,"DISCLOSURE OF INTEREST BY THE DIRECTORS, CEO, EXECUTIVES, THEIR SPOUSES AND SUBSTANTIAL SHAREHOLDERS OF LISTED COMPANIES",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
BAFL,2026-03-04,11:31 AM,Bank Alfalah Limited,Notice of the 34th Annual General Meeting of Bank Alfalah Limited,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
EFERT,2026-03-04,1:15 PM,Engro Fertilizers Limited,"Transmission of Annual Report for the Year Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
EFERT,2026-03-04,12:48 PM,Engro Fertilizers Limited,Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
FABL,2026-03-04,10:57 AM,Faysal Bank Limited,Notice of 31st Annual General Meeting of Faysal Bank Limited,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
MEBL,2026-03-04,1:11 PM,Meezan Bank Limited,NOTICE OF 30TH ANNUAL GENERAL MEETING PRIOR TO ITS PUBLICATION - MEEZAN BANK LIMITED,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
OGDC,2026-03-04,12:08 PM,Oil & Gas Development Company Limited,"OIL AND GAS DISCOVERY AT BARAGZAI X-01 (SLANT) OVER LOCKHART LIMESTONE, NASHPA BLOCK, KHYBER PAKHTUNKHWA, PAKISTAN",positive,0.97,Operations,production_positive,"Positive operational event — production revival, enhancement, or new discovery",production_revival
PPL,2026-03-04,1:11 PM,Pakistan Petroleum Limited,Discovery of Hydrocarbons from Exploratory Well Baragzai X-01 (Slant) from Lockhart Limestone in Partner Operated Nashpa Block,positive,0.97,Operations,production_positive,"Positive operational event — production revival, enhancement, or new discovery",production_revival
UBL,2026-03-04,11:51 AM,United Bank Limited,"Transmission of Annual Report for the Year Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
UBL,2026-03-04,11:48 AM,United Bank Limited,Notice of Annual General Meeting of United Bank Limited,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
ATRL,2026-03-02,12:53 PM,Attock Refinery Limited,Change of Alternate Director,neutral,0.93,Corporate Event,director_change,"Change of alternate, independent or non-executive director",director_change
EFERT,2026-03-02,11:03 AM,Engro Fertilizers Limited,RESIGNATION OF CHIEF EXECUTIVE OFFICER,neutral,0.93,Corporate Event,executive_change,"Change, appointment, or resignation of chief executive, CFO, or secretary",ceo_cfo_change
MLCF,2026-03-02,8:46 AM,Maple Leaf Cement Factory Limited,MLCF-Transmission of Quarterly Financial Statements for the Period Ended 31.12.2025,neutral,0.95,Regulatory Filing,accounts_transmission,Transmission or filing of financial statements or accounts,accounts_transmission
POL,2026-03-02,12:03 PM,Pakistan Oilfields Limited,"Transmission of Financial Statements for six months ended December 31, 2025",neutral,0.95,Regulatory Filing,accounts_transmission,Transmission or filing of financial statements or accounts,accounts_transmission
SYS,2026-03-02,9:07 AM,Systems Limited,CERTIFIED COPY OF RESOLUTIONS ADOPTED AT THE EXTRAORDINARY GENERAL MEETING,positive,0.87,Corporate Event,award_achievement,"Company wins award, achieves milestone, or record performance",award_win
ATRL,2026-02-27,10:42 AM,Attock Refinery Limited,"Transmission of Quarterly Report for the half year and six months period ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
DGKC,2026-02-27,10:26 AM,D.G. Khan Cement Company Limited,"Transmission of Quarterly Report for the Period Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
FCCL,2026-02-27,9:12 AM,Fauji Cement Company Limited,Transmission of Half Yearly Accounts for the Period Ended 31 December 2025,neutral,0.94,Regulatory Filing,accounts_transmission,Transmission or submission of half-yearly or quarterly report,half_yearly_report
HUBC,2026-02-27,10:44 AM,The Hub Power Company Limited,"Video Recording of the Corporate Briefing Session of The Hub Power Company Limited for the half year ended December 31, 2025",neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
HUBC,2026-02-27,9:43 AM,The Hub Power Company Limited,"Transmission of Quarterly Report for the Period Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
SEARL,2026-02-27,12:14 PM,The Searle Company Limited,Transmission of Half Yearly Financial Statements for the Period Ended 31-12-2025,neutral,0.95,Regulatory Filing,accounts_transmission,Transmission or filing of financial statements or accounts,accounts_transmission
TGL,2026-02-27,10:55 AM,Tariq Glass Industries Limited,"Transmission of 2nd Quarterly Report for the Period Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
CHCC,2026-02-26,11:59 AM,Cherat Cement Company Limited,"Transmission of Quarterly Financial Statements for the Period Ended December 31, 2025",neutral,0.95,Regulatory Filing,accounts_transmission,Transmission or filing of financial statements or accounts,accounts_transmission
LUCK,2026-02-26,12:49 PM,Lucky Cement Limited,"Transmission of Quarterly Report for the period ended - December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
MEBL,2026-02-26,12:54 PM,Meezan Bank Limited,REVISION IN BOOK CLOSURE DATES FOR 30TH ANNUAL GENERAL MEETING - MEEZAN BANK LIMITED,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
OGDC,2026-02-26,1:29 PM,Oil & Gas Development Company Limited,"Transmission of Half Yearly Report for the period ended December 31, 2025",neutral,0.94,Regulatory Filing,accounts_transmission,Transmission or submission of half-yearly or quarterly report,half_yearly_report
PPL,2026-02-26,10:50 AM,Pakistan Petroleum Limited,Settlement with Presson Descon International (Private) Limited (PDIL) and Descon Engineering Limited (DEL) in respect of Disputes Arising Out of Two EPCC Projects,positive,0.84,Corporate Action,legal_settlement,Settlement reached with counterparty,settlement
SEARL,2026-02-26,1:08 PM,The Searle Company Limited,Financial Results for the Quarter Ended 2025-12-31,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
FCCL,2026-02-25,12:32 PM,Fauji Cement Company Limited,Financial Results for Six Months Ended on 31 December 2025,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
HUBC,2026-02-25,10:25 AM,The Hub Power Company Limited,"Presentation for the Corporate Briefing Session of The Hub Power Company Limited for the half year ended December 31, 2025",neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
HUBC,2026-02-25,9:55 AM,The Hub Power Company Limited,"Newspaper Advertisement of the Notice of Dividend and Book Closure for the Half Year Ended December 31, 2025",neutral,0.97,Admin,book_closure,Book closure notice for dividend or entitlement,book_closure
ILP,2026-02-25,1:13 PM,Interloop Limited,"Credit of Interim Cash Dividend for the Half Year Ended December 31, 2025 and Notice for Publication in the Newspapers",positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
MLCF,2026-02-25,8:41 AM,Maple Leaf Cement Factory Limited,MLCF-Financial Results as on 31.12.2025,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
NBP,2026-02-25,8:48 AM,National Bank of Pakistan,"Financial Results For the Year Ended December 31, 2025",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
OGDC,2026-02-25,11:54 AM,Oil & Gas Development Company Limited,RECEIPT OF EIGHTH INTEREST PAYMENT UNDER TERM FINANCE CERTIFICATES (TFCS) BY POWER HOLDING LIMITED,neutral,0.93,Debt Instrument,sukuk_tfc_payment,"Scheduled sukuk, TFC, or bond payment notification",sukuk_tfc
PRL,2026-02-25,11:03 AM,Pakistan Refinery Limited,"Transmission of Quarterly Report for the Period Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
PSO,2026-02-25,1:00 PM,Pakistan State Oil Company Limited,"Transmission of Half Yearly Report for the Period Ended December 31, 2025",neutral,0.94,Regulatory Filing,accounts_transmission,Transmission or submission of half-yearly or quarterly report,half_yearly_report
UBL,2026-02-25,11:04 AM,United Bank Limited,Financial Results for the Year Ended 31 December 2025,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
UBL,2026-02-25,10:52 AM,United Bank Limited,Financial Results for the Year Ended 31 December 2025 REVOKED,neutral,0.82,Admin,filing_revoked,Previous filing revoked — usually an administrative correction,revocation
ATRL,2026-02-24,9:00 AM,Attock Refinery Limited,"FINANCIAL RESULTS FOR THE SECOND QUATER ENDED DECEMBER 31, 2025",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
HUBC,2026-02-24,10:26 AM,The Hub Power Company Limited,"Financial Results for the Half Year Ended December 31, 2025",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
ILP,2026-02-24,10:06 AM,Interloop Limited,"Transmission of Half Year Report for the Period Ended December 31, 2025",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
NBP,2026-02-24,1:11 PM,National Bank of Pakistan,Board Meeting in Progress,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
POL,2026-02-24,10:23 AM,Pakistan Oilfields Limited,"Financial Results for the Six Months ended December 31, 2025",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
POL,2026-02-24,8:38 AM,Pakistan Oilfields Limited,"Financial Results for the six months ended December 31, 2025 REVOKED",neutral,0.82,Admin,filing_revoked,Previous filing revoked — usually an administrative correction,revocation
TGL,2026-02-24,1:23 PM,Tariq Glass Industries Limited,"Financial Results for the Quarter Ended December 31, 2025",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
DGKC,2026-02-23,1:03 PM,D.G. Khan Cement Company Limited,"Financial Results for the Half Year Ended December 31, 2025",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
FFC,2026-02-23,9:46 AM,Fauji Fertilizer Company Limited,Transmission of Annual Report for the Year Ended 31 December 2025,neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
INIL,2026-02-23,12:54 PM,International Industries Limited,Credit of Interim Cash Dividend D-60,positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
MLCF,2026-02-23,8:55 AM,Maple Leaf Cement Factory Limited,MLCF-Disclosure of Material Information 23.02.2026,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
OGDC,2026-02-23,10:32 AM,Oil & Gas Development Company Limited,OGDC | Oil & Gas Development Company Limited Financial Statement for half year ended 12 31 2025,neutral,0.95,Regulatory Filing,accounts_transmission,Transmission or filing of financial statements or accounts,accounts_transmission
FFC,2026-02-20,9:15 AM,Fauji Fertilizer Company Limited,Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
HUBC,2026-02-20,9:40 AM,The Hub Power Company Limited,"Corporate Briefing Session of The Hub Power Company Limited for the half year ended December 31, 2025",neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
MCB,2026-02-20,10:11 AM,MCB Bank Limited,Appointment of Chief Financial Officer - MCB Bank Limited,neutral,0.93,Corporate Event,executive_change,"Change, appointment, or resignation of chief executive, CFO, or secretary",ceo_cfo_change
MLCF,2026-02-20,8:57 AM,Maple Leaf Cement Factory Limited,Disclosure of Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
OGDC,2026-02-20,8:00 AM,Oil & Gas Development Company Limited,"OIL AND GAS DISCOVERY AT BARAGZAI X-01 (SLANT) OVER LUMSHIWAL FORMATION, NASHPA BLOCK",positive,0.97,Operations,production_positive,"Positive operational event — production revival, enhancement, or new discovery",production_revival
PPL,2026-02-20,12:12 PM,Pakistan Petroleum Limited,Discovery of Hydrocarbons from Exploratory Well Baragzai X-01 (Slant) from Lumshiwal Formation in Partner Operated Nashpa Block,positive,0.97,Operations,production_positive,"Positive operational event — production revival, enhancement, or new discovery",production_revival
CHCC,2026-02-19,12:32 PM,Cherat Cement Company Limited,Notice of Book Closure,neutral,0.97,Admin,book_closure,Book closure notice for dividend or entitlement,book_closure
FABL,2026-02-19,11:23 AM,Faysal Bank Limited,"Financial Results for the year ended December 31, 2025 of Faysal Bank Limited",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
HBL,2026-02-19,1:15 PM,Habib Bank Limited,Reappointment of Chief Executive Officer,neutral,0.93,Corporate Event,executive_change,"Change, appointment, or resignation of chief executive, CFO, or secretary",ceo_cfo_change
OGDC,2026-02-19,1:00 PM,Oil & Gas Development Company Limited,OGDCL TESTS GAS-CONDENSATE WELL: DARS WEST-3,neutral,0.8,Operations,production_testing,Well testing or field production update — outcome details not in title,production_test
PPL,2026-02-19,10:35 AM,Pakistan Petroleum Limited,Transmission of Quarterly Report for the Period Ended 31 December 2025,neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
SEARL,2026-02-19,12:11 PM,The Searle Company Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
CHCC,2026-02-18,12:12 PM,Cherat Cement Company Limited,"Financial Results for the Quarter Ended December 31, 2025",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
EFERT,2026-02-18,8:00 AM,Engro Fertilizers Limited,Board Meeting other than Financial Results-Shorter Notice,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
FCCL,2026-02-18,3:08 PM,Fauji Cement Company Limited,Disclosure of Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
